ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,1st Round,3,Clement A.,Gaudenzi A.,18,101,6,7,6,0,6,3,,,,,2,1,Completed,,,,,,,,
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,1st Round,3,Goldstein P.,Jones A.,81,442,6,4,6,2,,,,,,,2,0,Completed,,,,,,,,
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,1st Round,3,Haas T.,Smith L.,23,485,6,3,6,3,,,,,,,2,0,Completed,,,1.12,4,1.1,3.5,,
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,1st Round,3,Henman T.,Rusedski G.,10,69,6,2,7,6,,,,,,,2,0,Completed,,,,,,,,
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,1st Round,3,Hewitt L.,Arthurs W.,7,83,6,4,6,3,,,,,,,2,0,Completed,1.28,3.3,1.12,3.8,,,,
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,1st Round,3,Johansson T.,Mantilla F.,39,99,7,6,6,2,,,,,,,2,0,Completed,,,,,,,,
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,1st Round,3,Ljubicic I.,Sargsian S.,91,94,6,2,7,5,,,,,,,2,0,Completed,,,,,,,,
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,1st Round,3,Malisse X.,Woodruff C.,127,67,2,6,6,3,6,2,,,,,2,1,Completed,,,,,,,,
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,1st Round,3,Martin A.,Puentes G.,79,92,6,2,6,3,,,,,,,2,0,Completed,,,,,,,,
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,1st Round,3,Massu N.,Sluiter R.,87,95,6,2,6,4,,,,,,,2,0,Completed,,,,,,,,
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,1st Round,3,Pavel A.,Gimelstob J.,27,97,6,2,6,2,,,,,,,2,0,Completed,,,,,,,,
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,1st Round,3,Phau B.,Woodbridge T.,208,187,7,5,6,1,,,,,,,2,0,Completed,,,,,,,,
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,1st Round,3,Rochus C.,Ilie A.,74,50,1,6,7,6,7,5,,,,,2,1,Completed,,,,,,,,
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,1st Round,3,Stoltenberg J.,Grosjean S.,66,19,6,3,6,2,,,,,,,2,0,Completed,,,,,,,,
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,1st Round,3,Tarango J.,Kohlmann M.,112,217,6,3,7,6,,,,,,,2,0,Completed,,,,,,,,
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,1st Round,3,Vinck C.,Popp A.,102,86,7,6,6,4,,,,,,,2,0,Completed,,,,,,,,
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,2nd Round,3,Haas T.,Malisse X.,23,127,7,5,6,3,,,,,,,2,0,Completed,1.35,2.9,1.2,3.2,1.25,2.6,1.33,3
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,2nd Round,3,Henman T.,Tarango J.,10,112,6,1,6,4,,,,,,,2,0,Completed,,,,,,,,
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,2nd Round,3,Hewitt L.,Phau B.,7,208,6,7,6,4,6,0,,,,,2,1,Completed,,,,,,,1.13,5.5
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,2nd Round,3,Johansson T.,Vinck C.,39,102,7,5,6,3,,,,,,,2,0,Completed,,,,,,,,
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,2nd Round,3,Ljubicic I.,Pavel A.,91,27,3,6,7,5,6,4,,,,,2,1,Completed,,,,,,,,
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,2nd Round,3,Martin A.,Rochus C.,79,74,3,6,7,6,7,5,,,,,2,1,Completed,,,,,,,,
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,2nd Round,3,Massu N.,Clement A.,87,18,6,2,6,2,,,,,,,2,0,Completed,2.7,1.42,2.3,1.41,2,1.45,2.63,1.44
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,2nd Round,3,Stoltenberg J.,Goldstein P.,66,81,6,2,6,2,,,,,,,2,0,Completed,1.55,2.25,1.55,2,,,1.53,2.38
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,Quarterfinals,3,Haas T.,Hewitt L.,23,7,6,4,0,6,6,1,,,,,2,1,Completed,2.3,1.53,,,1.9,1.5,,
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,Quarterfinals,3,Henman T.,Johansson T.,10,39,7,6,6,7,6,3,,,,,2,1,Completed,1.4,2.75,1.47,2.2,1.35,2.2,1.25,3.5
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,Quarterfinals,3,Massu N.,Ljubicic I.,87,91,6,7,7,6,6,2,,,,,2,1,Completed,2,1.7,2,1.61,1.75,1.65,,
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,Quarterfinals,3,Stoltenberg J.,Martin A.,66,79,6,3,6,4,,,,,,,2,0,Completed,1.35,3,1.41,2.4,1.4,2.1,1.4,2.75
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,Semifinals,3,Haas T.,Stoltenberg J.,23,66,7,6,6,4,,,,,,,2,0,Completed,,,,,,,,
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,Semifinals,3,Massu N.,Henman T.,87,10,3,6,7,5,6,2,,,,,2,1,Completed,,,,,,,,
1,Adelaide,AAPT Championships,1/1/01,International,Outdoor,Hard,The Final,3,Haas T.,Massu N.,23,87,6,3,6,1,,,,,,,2,0,Completed,1.35,3,1.4,2.4,1.4,2.1,,
2,Chennai,TATA Open,1/1/01,International,Outdoor,Hard,1st Round,3,Agenor R.,Zib T.,137,117,6,3,6,2,,,,,,,2,0,Completed,2.3,1.53,1.8,1.66,1.9,1.5,,
2,Chennai,TATA Open,1/1/01,International,Outdoor,Hard,1st Round,3,Black B.,Davydenko N.,35,133,6,4,4,6,6,3,,,,,2,1,Completed,,,,,,,,
2,Chennai,TATA Open,1/1/01,International,Outdoor,Hard,1st Round,3,Dent T.,Norman M.,181,4,6,3,7,6,,,,,,,2,0,Completed,4.75,1.14,3.5,1.17,3,1.15,,
2,Chennai,TATA Open,1/1/01,International,Outdoor,Hard,1st Round,3,Golmard J.,Bastl G.,42,105,7,5,6,7,6,1,,,,,2,1,Completed,1.4,2.75,1.35,2.5,1.4,2.1,,
2,Chennai,TATA Open,1/1/01,International,Outdoor,Hard,1st Round,3,Kempes E.,Vanek J.,126,77,7,6,4,6,6,3,,,,,2,1,Completed,,,,,,,,
2,Chennai,TATA Open,1/1/01,International,Outdoor,Hard,1st Round,3,Pioline C.,Blanco G.,16,114,3,6,6,3,7,6,,,,,2,1,Completed,1.3,3.2,1.17,3.4,1.2,2.8,,
2,Chennai,TATA Open,1/1/01,International,Outdoor,Hard,1st Round,3,Pless K.,Black W.,197,107,6,2,7,5,,,,,,,2,0,Completed,2,1.7,,,2,1.45,,
2,Chennai,TATA Open,1/1/01,International,Outdoor,Hard,1st Round,3,Robredo T.,Paes L.,131,188,7,6,6,0,,,,,,,2,0,Completed,,,,,2,1.45,,
2,Chennai,TATA Open,1/1/01,International,Outdoor,Hard,1st Round,3,Sanchez D.,Hantschk M.,89,72,6,3,6,3,,,,,,,2,0,Completed,,,,,,,,
2,Chennai,TATA Open,1/1/01,International,Outdoor,Hard,1st Round,3,Saulnier C.,Alvarez E.,130,125,6,4,6,2,,,,,,,2,0,Completed,,,,,,,,
2,Chennai,TATA Open,1/1/01,International,Outdoor,Hard,1st Round,3,Stoliarov A.,Bhupathi M.,122,889,3,6,6,2,7,6,,,,,2,1,Completed,,,,,,,,
2,Chennai,TATA Open,1/1/01,International,Outdoor,Hard,1st Round,3,Tabara M.,Gonzalez F.,96,115,6,3,6,3,,,,,,,2,0,Completed,,,,,,,,
2,Chennai,TATA Open,1/1/01,International,Outdoor,Hard,1st Round,3,Vinciguerra A.,Kratochvil M.,52,93,7,6,6,3,,,,,,,2,0,Completed,1.45,2.5,1.43,2.3,1.35,2.2,,
