ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,IWW,IWL,SBW,SBL,B&WW,B&WL
1,Adelaide,AAPT Championships,12/30/02,International,Outdoor,Hard,1st Round,3,Davydenko N.,Labadze I.,81,93,6,2,7,6,,,,,,,2,0,Completed,,,,,1.5,2.1,,,1.6,1.95
1,Adelaide,AAPT Championships,12/30/02,International,Outdoor,Hard,1st Round,3,Kim A.,Savolt A.,238,95,2,6,6,3,6,3,,,,,2,1,Completed,,,,,1.75,1.75,,,1.68,1.83
1,Adelaide,AAPT Championships,12/30/02,International,Outdoor,Hard,1st Round,3,Spadea V.,Reid T.,67,146,3,6,6,3,6,3,,,,,2,1,Completed,1.364,2.875,,,1.3,2.7,,,1.33,2.7
1,Adelaide,AAPT Championships,12/30/02,International,Outdoor,Hard,1st Round,3,Vahaly B.,Kennedy A.,102,175,4,6,6,2,6,0,,,,,2,1,Completed,,,,,1.35,2.5,,,1.3,2.85
1,Adelaide,AAPT Championships,12/30/02,International,Outdoor,Hard,1st Round,3,Voinea A.,Rochus C.,68,143,6,1,4,6,7,6,,,,,2,1,Completed,,,,,1.85,1.65,,,1.85,1.67
1,Adelaide,AAPT Championships,12/30/02,International,Outdoor,Hard,1st Round,3,Zabaleta M.,Waske A.,53,122,6,1,6,4,,,,,,,2,0,Completed,,,,,1.55,2,,,1.61,1.94
1,Adelaide,AAPT Championships,12/31/02,International,Outdoor,Hard,1st Round,3,Dupuis A.,Beck K.,70,117,6,4,6,3,,,,,,,2,0,Completed,1.667,2.1,,,1.65,1.85,,,1.69,1.81
1,Adelaide,AAPT Championships,12/31/02,International,Outdoor,Hard,1st Round,3,Ljubicic I.,Morrison J.,49,97,6,4,6,3,,,,,,,2,0,Completed,1.4,2.75,,,1.4,2.3,,,1.27,3
1,Adelaide,AAPT Championships,12/31/02,International,Outdoor,Hard,1st Round,3,Martin A.,Melzer J.,61,91,6,1,6,3,,,,,,,2,0,Completed,1.667,2.1,,,1.7,1.8,,,1.67,1.85
1,Adelaide,AAPT Championships,12/31/02,International,Outdoor,Hard,1st Round,3,Mirnyi M.,Galvani S.,43,126,7,6,6,2,,,,,,,2,0,Completed,1.286,3.25,,,1.3,2.7,,,1.15,4
1,Adelaide,AAPT Championships,12/31/02,International,Outdoor,Hard,1st Round,3,Parmar A.,Levy H.,170,203,6,7,6,4,6,1,,,,,2,1,Completed,1.8,1.909,,,,,,,,
1,Adelaide,AAPT Championships,12/31/02,International,Outdoor,Hard,1st Round,3,Verkerk M.,Serra F.,86,202,6,3,6,4,,,,,,,2,0,Completed,,,,,,,,,,
1,Adelaide,AAPT Championships,12/31/02,International,Outdoor,Hard,1st Round,3,Vliegen K.,Enqvist T.,164,44,3,6,6,4,6,3,,,,,2,1,Completed,,,,,,,,,,
