WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
1,Auckland,ASB Classic,1/1/2007,4,Outdoor,Hard,1st Round,3,Sun T.T.,Baker L.,81,272,332.25,90.5,6,1,6,1,,,2,0,Completed,1.33,3,1.38,2.9,,,,,1.35,3.05
1,Auckland,ASB Classic,1/1/2007,4,Outdoor,Hard,1st Round,3,Dulko G.,Myskina A.,59,16,401.75,1000,6,1,6,7,6,2,2,1,Completed,3.75,1.22,4.5,1.18,3.75,1.25,4.7,1.244,3.75,1.25
1,Auckland,ASB Classic,1/1/2007,4,Outdoor,Hard,1st Round,3,Loit E.,Birnerova E.,56,84,418.5,324.75,6,1,6,1,,,2,0,Completed,1.72,2,1.9,1.85,1.8,1.95,1.82,2.12,,
1,Auckland,ASB Classic,1/1/2007,4,Outdoor,Hard,1st Round,3,Craybas J.,Nakamura A.,70,57,365.5,405,7,5,6,2,,,2,0,Completed,1.83,1.83,2.15,1.66,2,1.75,2.05,1.87,,
1,Auckland,ASB Classic,1/1/2007,4,Outdoor,Hard,1st Round,3,Bartoli M.,Morita A.,18,180,951,152,7,6,6,3,,,2,0,Completed,1.16,4.5,1.16,4.85,1.2,4.25,1.185,5.9,1.2,4.3
1,Auckland,ASB Classic,1/1/2007,4,Outdoor,Hard,1st Round,3,Pin C.,Perry S.,75,44,349,455.25,6,3,5,7,6,2,2,1,Completed,2.5,1.5,2.5,1.5,2.5,1.5,2.4,1.667,,
1,Auckland,ASB Classic,1/1/2007,4,Outdoor,Hard,1st Round,3,Daniilidou E.,Kostanic J.,36,51,538.75,422.75,6,3,4,6,6,1,2,1,Completed,1.36,2.87,1.28,3.5,1.36,3,1.322,3.81,1.36,3
1,Auckland,ASB Classic,1/1/2007,4,Outdoor,Hard,1st Round,3,Erakovic M.,Tu M.,162,90,171,312,6,3,4,6,7,5,2,1,Completed,2.5,1.5,2.7,1.43,,,,,,
1,Auckland,ASB Classic,1/1/2007,4,Outdoor,Hard,1st Round,3,Razzano V.,Kanepi K.,88,78,319,343.5,7,6,6,1,,,2,0,Completed,1.83,1.83,1.85,1.9,1.91,1.83,1.99,1.917,1.8,1.96
1,Auckland,ASB Classic,1/1/2007,4,Outdoor,Hard,1st Round,3,Laine E.,Johansson M.,74,140,349.75,204.5,7,6,6,1,,,2,0,Completed,1.53,2.37,1.63,2.2,1.63,2.2,1.578,2.63,1.57,2.33
1,Auckland,ASB Classic,1/2/2007,4,Outdoor,Hard,1st Round,3,Meusburger Y.,Bychkova E.,135,76,210.75,345,7,5,6,0,,,2,0,Completed,1.72,2,1.75,2,1.75,2,1.806,2.14,,
1,Auckland,ASB Classic,1/2/2007,4,Outdoor,Hard,1st Round,3,Suarez P.,Muller M.,178,34,155.75,545,3,6,6,1,6,1,2,1,Completed,1.57,2.25,1.6,2.25,1.57,2.3,1.556,2.7,1.6,2.28
1,Auckland,ASB Classic,1/2/2007,4,Outdoor,Hard,1st Round,3,Hantuchova D.,Cibulkova D.,17,153,986,181.5,6,1,3,6,6,2,2,1,Completed,1.28,3.25,1.13,5.4,,,1.185,5.91,1.14,5.25
1,Auckland,ASB Classic,1/2/2007,4,Outdoor,Hard,1st Round,3,Granville L.,Oprandi R.,68,53,372.5,421,6,3,6,4,,,2,0,Completed,1.66,2.1,1.69,2.1,1.68,2.1,1.649,2.44,1.7,2.1
1,Auckland,ASB Classic,1/2/2007,4,Outdoor,Hard,1st Round,3,Zvonareva V.,Osterloh L.,24,118,781,258.5,5,7,6,2,6,3,2,1,Completed,1.14,5,1.14,5.25,1.18,4.5,1.178,6.11,1.15,5.1
1,Auckland,ASB Classic,1/2/2007,4,Outdoor,Hard,1st Round,3,Jankovic J.,Schruff J.,12,82,1211,326.75,6,3,6,4,,,2,0,Completed,1.12,5.5,1.12,5.65,1.15,5,1.159,6.7,1.14,5.25
1,Auckland,ASB Classic,1/2/2007,4,Outdoor,Hard,2nd Round,3,Craybas J.,Dulko G.,70,59,365.5,401.75,6,3,7,5,,,2,0,Completed,1.72,2,1.72,2.05,1.8,1.95,1.741,2.25,1.75,2
1,Auckland,ASB Classic,1/2/2007,4,Outdoor,Hard,2nd Round,3,Loit E.,Bartoli M.,56,18,418.5,951,7,5,6,4,,,2,0,Completed,3.25,1.28,4,1.22,3.75,1.25,4.38,1.272,3.5,1.28
1,Auckland,ASB Classic,1/3/2007,4,Outdoor,Hard,2nd Round,3,Suarez P.,Sun T.T.,178,81,155.75,332.25,7,5,6,4,,,2,0,Completed,1.53,2.37,1.5,2.5,1.5,2.5,1.595,2.58,1.57,2.33
1,Auckland,ASB Classic,1/3/2007,4,Outdoor,Hard,2nd Round,3,Daniilidou E.,Erakovic M.,36,162,538.75,171,6,4,2,6,6,4,2,1,Completed,1.22,4,1.22,4,1.25,3.75,1.303,4,,
1,Auckland,ASB Classic,1/3/2007,4,Outdoor,Hard,2nd Round,3,Pin C.,Meusburger Y.,75,135,349,210.75,2,6,6,3,6,3,2,1,Completed,1.53,2.37,1.55,2.35,1.5,2.5,1.654,2.43,1.57,2.33
1,Auckland,ASB Classic,1/3/2007,4,Outdoor,Hard,2nd Round,3,Jankovic J.,Laine E.,12,74,1211,349.75,6,2,6,1,,,2,0,Completed,1.14,5,1.1,6.3,1.14,5.2,1.149,7.1,1.14,5.3
1,Auckland,ASB Classic,1/3/2007,4,Outdoor,Hard,2nd Round,3,Razzano V.,Hantuchova D.,88,17,319,986,6,1,7,5,,,2,0,Completed,3.25,1.28,3.05,1.35,3.46,1.28,3.96,1.307,3.5,1.28
1,Auckland,ASB Classic,1/3/2007,4,Outdoor,Hard,2nd Round,3,Zvonareva V.,Granville L.,24,68,781,372.5,6,4,6,1,,,2,0,Completed,1.28,3.25,1.25,3.7,1.25,3.75,1.234,4.87,1.28,3.5
1,Auckland,ASB Classic,1/3/2007,4,Outdoor,Hard,Quarterfinals,3,Pin C.,Loit E.,75,56,349,418.5,6,3,6,3,,,2,0,Completed,2.2,1.61,2.2,1.63,2.15,1.65,2.21,1.763,2.05,1.73
1,Auckland,ASB Classic,1/4/2007,4,Outdoor,Hard,Quarterfinals,3,Craybas J.,Suarez P.,70,178,365.5,155.75,6,3,7,6,,,2,0,Completed,2,1.72,1.95,1.8,1.95,1.8,2.2,1.769,1.98,1.78
1,Auckland,ASB Classic,1/4/2007,4,Outdoor,Hard,Quarterfinals,3,Jankovic J.,Daniilidou E.,12,36,1211,538.75,6,3,6,4,,,2,0,Completed,1.19,4,1.17,4.65,1.2,4.25,1.241,4.75,1.23,4
1,Auckland,ASB Classic,1/4/2007,4,Outdoor,Hard,Quarterfinals,3,Zvonareva V.,Razzano V.,24,88,781,319,7,5,2,0,,,1,0,Retired,1.28,3.25,1.33,3.15,1.3,3.3,1.394,3.34,1.29,3.45
1,Auckland,ASB Classic,1/5/2007,4,Outdoor,Hard,Semifinals,3,Jankovic J.,Pin C.,12,75,1211,349,3,0,,,,,0,0,Retired,1.11,6,1.1,6.3,1.1,6.25,1.098,9.25,1.08,7.4
1,Auckland,ASB Classic,1/5/2007,4,Outdoor,Hard,Semifinals,3,Zvonareva V.,Craybas J.,24,70,781,365.5,6,3,7,5,,,2,0,Completed,1.25,3.75,1.28,3.5,1.28,3.46,1.299,4.04,1.27,3.6
1,Auckland,ASB Classic,1/6/2007,4,Outdoor,Hard,The Final,3,Jankovic J.,Zvonareva V.,12,24,1211,781,7,6,5,7,6,3,2,1,Completed,1.53,2.37,1.55,2.35,1.53,2.4,1.625,2.5,1.57,2.33
2,Gold Coast,Mondial Australian Women's Hardcourts,12/31/2006,3,Outdoor,Hard,1st Round,3,Castano C.,Golds S.,54,599,420.75,20.75,6,3,6,4,,,2,0,Completed,1.14,5,,,1.15,5,1.143,7.3,1.12,5.8
2,Gold Coast,Mondial Australian Women's Hardcourts,12/31/2006,3,Outdoor,Hard,1st Round,3,Sequera M.,Ivanova E.,103,183,280.25,148.25,6,4,6,2,,,2,0,Completed,1.66,2.1,1.58,2.3,,,1.69,2.35,1.6,2.27
2,Gold Coast,Mondial Australian Women's Hardcourts,12/31/2006,3,Outdoor,Hard,1st Round,3,Bremond S.,Benesova I.,40,58,521,402.25,0,6,6,4,6,2,2,1,Completed,1.72,2,1.85,1.9,1.67,2.12,1.746,2.24,1.7,2.1
2,Gold Coast,Mondial Australian Women's Hardcourts,12/31/2006,3,Outdoor,Hard,1st Round,3,Hingis M.,Bammer S.,7,49,2018,430.25,6,0,6,2,,,2,0,Completed,1.08,6.5,1.09,6.6,1.07,7.35,1.095,9.49,1.08,7
2,Gold Coast,Mondial Australian Women's Hardcourts,12/31/2006,3,Outdoor,Hard,1st Round,3,Vesnina E.,Camerin M.E.,47,50,445.25,426.5,6,3,6,2,,,2,0,Completed,1.57,2.25,1.58,2.3,1.63,2.2,1.714,2.3,1.57,2.33
2,Gold Coast,Mondial Australian Women's Hardcourts,12/31/2006,3,Outdoor,Hard,1st Round,3,Ferguson S.,Sugiyama A.,184,26,146.5,716,7,6,6,4,,,2,0,Completed,5,1.14,5.65,1.12,4.65,1.17,5.25,1.215,,
2,Gold Coast,Mondial Australian Women's Hardcourts,1/1/2007,3,Outdoor,Hard,1st Round,3,Peer S.,Shaughnessy M.,20,37,894,531,6,1,5,7,6,0,2,1,Completed,1.25,3.5,1.33,3.15,1.29,3.4,1.303,4,1.28,3.5
2,Gold Coast,Mondial Australian Women's Hardcourts,1/1/2007,3,Outdoor,Hard,1st Round,3,Li N.,Zahlavova S.,21,156,875.75,176,6,0,6,4,,,2,0,Completed,1.16,4.5,1.13,5.4,,,,,,
2,Gold Coast,Mondial Australian Women's Hardcourts,1/1/2007,3,Outdoor,Hard,1st Round,3,Srebotnik K.,King V.,23,60,819,398.75,6,4,6,3,,,2,0,Completed,1.53,2.37,1.6,2.25,1.57,2.3,1.621,2.51,,
2,Gold Coast,Mondial Australian Women's Hardcourts,1/1/2007,3,Outdoor,Hard,1st Round,3,Poutchkova O.,Fedak Y.,39,80,525.25,334,6,7,7,6,6,3,2,1,Completed,1.5,2.5,1.45,2.65,1.5,2.5,1.446,3.04,1.5,2.5
2,Gold Coast,Mondial Australian Women's Hardcourts,1/1/2007,3,Outdoor,Hard,1st Round,3,Garbin T.,Groenefeld A.L.,38,19,529.75,922,7,6,6,7,6,3,2,1,Completed,2,1.72,1.85,1.9,2,1.75,1.971,1.935,2.16,1.66
2,Gold Coast,Mondial Australian Women's Hardcourts,1/1/2007,3,Outdoor,Hard,1st Round,3,Ivanovic A.,Vinci R.,14,85,1053,324,7,5,6,1,,,2,0,Completed,1.19,4,1.22,4,1.2,4.25,1.24,4.76,1.2,4.3
2,Gold Coast,Mondial Australian Women's Hardcourts,1/1/2007,3,Outdoor,Hard,1st Round,3,Pratt N.,Bovina E.,77,1431,344.75,2,6,2,6,7,6,1,2,1,Completed,1.57,2.25,1.72,2.05,,,1.685,2.36,1.88,1.88
2,Gold Coast,Mondial Australian Women's Hardcourts,1/1/2007,3,Outdoor,Hard,1st Round,3,Kirilenko M.,Pennetta F.,30,28,637,692,6,1,6,2,,,2,0,Completed,2.37,1.53,2.35,1.55,2.2,1.63,2.55,1.606,2,1.77
2,Gold Coast,Mondial Australian Women's Hardcourts,1/1/2007,3,Outdoor,Hard,1st Round,3,Stosur S.,Peng S.,29,55,685,419,5,7,6,2,6,1,2,1,Completed,1.44,2.62,1.36,3,1.45,2.65,1.465,2.95,1.57,2.33
2,Gold Coast,Mondial Australian Women's Hardcourts,1/2/2007,3,Outdoor,Hard,1st Round,3,Safina D.,Likhovtseva E.,11,43,1390,462,6,3,6,2,,,2,0,Completed,1.28,3.25,1.3,3.35,1.28,3.46,1.361,3.57,1.35,3.1
2,Gold Coast,Mondial Australian Women's Hardcourts,1/2/2007,3,Outdoor,Hard,2nd Round,3,Castano C.,Li N.,54,21,420.75,875.75,6,4,1,6,6,2,2,1,Completed,4,1.19,4,1.22,4.25,1.2,5,1.227,3.75,1.25
