WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
1,Auckland,ASB Classic,12/30/2007,4,Outdoor,Hard,1st Round,3,Paszek T.,Wickmayer Y.,41,175,718,176,7,6,6,1,,,2,0,Completed,1.25,3.75,1.25,3.85,1.167,4.5,1.365,3.54,1.22,4.1
1,Auckland,ASB Classic,12/31/2007,4,Outdoor,Hard,1st Round,3,Davenport L.,Granville L.,72,61,430,460,6,2,6,3,,,2,0,Completed,1.07,7.5,1.05,8.5,,,1.08,11,1.08,7.4
1,Auckland,ASB Classic,12/31/2007,4,Outdoor,Hard,1st Round,3,Harkleroad A.,Loit E.,67,43,440,659,6,4,6,1,,,2,0,Completed,1.66,2.1,1.6,2.25,1.615,2.2,1.69,2.35,1.65,2.16
1,Auckland,ASB Classic,12/31/2007,4,Outdoor,Hard,1st Round,3,Srebotnik K.,Rodionova A.,27,78,961,397,6,0,3,0,,,1,0,Retired,1.16,4.5,1.15,5.2,1.2,4.333,1.206,5.45,1.2,4.35
1,Auckland,ASB Classic,12/31/2007,4,Outdoor,Hard,1st Round,3,Zakopalova K.,Tu M.,63,47,455,607,6,3,7,5,,,2,0,Completed,1.83,1.83,1.8,1.95,1.833,1.833,1.862,2.06,1.82,1.94
1,Auckland,ASB Classic,12/31/2007,4,Outdoor,Hard,1st Round,3,Medina Garrigues A.,Pratt N.,34,70,840,433,7,6,6,2,,,2,0,Completed,1.33,3.25,1.25,3.6,1.3,3.4,1.38,3.43,1.35,3.1
1,Auckland,ASB Classic,12/31/2007,4,Outdoor,Hard,1st Round,3,Meusburger Y.,Morigami A.,65,49,449,588,7,5,6,0,,,2,0,Completed,2.62,1.44,2.6,1.45,2.5,1.5,3.05,1.444,2.5,1.5
1,Auckland,ASB Classic,12/31/2007,4,Outdoor,Hard,1st Round,3,Daniilidou E.,Baltacha E.,42,187,710,159,6,1,6,2,,,2,0,Completed,1.2,4.33,1.17,4.67,1.25,3.75,1.231,4.93,1.2,4.35
1,Auckland,ASB Classic,12/31/2007,4,Outdoor,Hard,1st Round,3,Parmentier P.,Manasieva V.,57,162,502,194,6,0,7,5,,,2,0,Completed,1.36,3,1.35,3.1,1.4,2.75,1.417,3.2,1.3,3.4
1,Auckland,ASB Classic,1/1/2008,4,Outdoor,Hard,1st Round,3,Rezai A.,Zhang S.,90,149,374,226,6,6,6,3,,,2,0,Completed,1.5,2.5,1.53,2.4,,,1.625,2.5,1.52,2.45
1,Auckland,ASB Classic,1/1/2008,4,Outdoor,Hard,1st Round,3,Zvonareva V.,Jones S.,22,325,1117,71,6,0,6,1,,,2,0,Completed,1.04,9,1.04,9.25,,,1.049,16.38,1.02,18
1,Auckland,ASB Classic,1/1/2008,4,Outdoor,Hard,1st Round,3,Pin C.,Muller M.,76,53,407,540,6,3,6,1,,,2,0,Completed,1.38,2.87,1.4,2.8,1.4,2.75,1.403,3.28,1.38,2.95
1,Auckland,ASB Classic,1/1/2008,4,Outdoor,Hard,1st Round,3,Errani S.,Krajicek M.,69,33,436,864,7,5,6,7,6,2,2,1,Completed,3.5,1.28,3.75,1.25,3.75,1.25,3.86,1.316,3.8,1.25
1,Auckland,ASB Classic,1/1/2008,4,Outdoor,Hard,1st Round,3,Arvidsson S.,Rolle A.,98,115,345,308,6,4,7,5,,,2,0,Completed,2,1.72,1.95,1.8,2,1.727,2.02,1.893,1.96,1.8
1,Auckland,ASB Classic,1/1/2008,4,Outdoor,Hard,1st Round,3,Erakovic M.,Barry E.,153,387,218,52,6,1,6,1,,,2,0,Completed,1.16,4.5,1.15,5.2,,,1.213,5.3,1.17,4.8
1,Auckland,ASB Classic,1/1/2008,4,Outdoor,Hard,1st Round,3,Kirilenko M.,Kanepi K.,25,75,963,421,6,2,2,6,6,3,2,1,Completed,1.25,3.75,1.18,4.45,1.286,3.5,1.239,4.79,1.25,3.8
1,Auckland,ASB Classic,1/1/2008,4,Outdoor,Hard,2nd Round,3,Paszek T.,Pin C.,41,76,718,407,6,2,6,3,,,2,0,Completed,1.36,3,1.3,3.35,1.333,3.25,1.426,3.15,1.35,3.1
1,Auckland,ASB Classic,1/1/2008,4,Outdoor,Hard,2nd Round,3,Zvonareva V.,Arvidsson S.,22,98,1117,345,6,2,6,3,,,2,0,Completed,1.16,4.5,1.17,4.67,1.125,5.5,1.134,7.79,1.12,5.85
1,Auckland,ASB Classic,1/2/2008,4,Outdoor,Hard,2nd Round,3,Davenport L.,Medina Garrigues A.,72,34,430,840,6,1,4,6,6,0,2,1,Completed,1.1,6.5,1.1,6.75,,,1.115,8.45,,
