WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
1,Auckland,ASB Classic,1/2/2011,International,Outdoor,Hard,1st Round,3,Peng S.,Larsson J.,72,69,872,899,6,1,6,3,,,2,0,Completed,1.5,2.5,1.5,2.5,1.57,2.25,1.52,2.68,1.53,2.38,1.62,2.8,1.51,2.46
1,Auckland,ASB Classic,1/3/2011,International,Outdoor,Hard,1st Round,3,Kuznetsova S.,Jones S.,27,253,2221,212,6,4,6,2,,,2,0,Completed,1.05,9,1.04,8.75,1.08,7,1.12,7.47,1.07,7,1.12,10,1.07,7.54
1,Auckland,ASB Classic,1/3/2011,International,Outdoor,Hard,1st Round,3,Voracova R.,Dominguez Lino L.,81,85,804,772,4,6,7,6,6,0,2,1,Completed,1.57,2.25,1.6,2.25,1.67,2.1,1.67,2.32,1.67,2.1,1.73,2.36,1.64,2.19
1,Auckland,ASB Classic,1/3/2011,International,Outdoor,Hard,1st Round,3,Sharapova M.,Brianti A.,18,91,2591,730,6,2,6,3,,,2,0,Completed,1.04,10,,,,,1.06,11.23,,,1.06,11.23,1.05,10.62
1,Auckland,ASB Classic,1/3/2011,International,Outdoor,Hard,1st Round,3,Keothavong A.,Gallovits E.,121,77,567,838,6,7,6,4,6,0,2,1,Completed,1.66,2.1,1.8,1.95,1.73,2,1.7,2.26,1.83,1.83,1.83,2.3,1.72,2.04
1,Auckland,ASB Classic,1/3/2011,International,Outdoor,Hard,1st Round,3,Bondarenko K.,Date Krumm K.,99,51,677,1180,6,4,6,3,,,2,0,Completed,2.2,1.61,2.25,1.6,2.1,1.67,2.09,1.81,2,1.8,2.25,1.81,2.12,1.68
1,Auckland,ASB Classic,1/3/2011,International,Outdoor,Hard,1st Round,3,Suarez Navarro C.,Oprandi R.,57,66,1050,917,6,3,7,6,,,2,0,Completed,1.44,2.62,1.45,2.6,1.5,2.5,1.51,2.73,1.53,2.38,1.53,2.9,1.47,2.59
1,Auckland,ASB Classic,1/3/2011,International,Outdoor,Hard,1st Round,3,Cornet A.,Zahlavova S.,79,95,815,701,3,6,7,5,6,0,2,1,Completed,1.44,2.62,1.5,2.5,1.5,2.5,1.52,2.7,1.57,2.25,2.2,2.8,1.52,2.48
1,Auckland,ASB Classic,1/3/2011,International,Outdoor,Hard,1st Round,3,Arn G.,Ondraskova Z.,88,83,755,778,6,1,6,0,,,2,0,Completed,1.72,2,1.75,2,1.91,1.8,1.84,2.06,1.83,1.83,1.91,2.06,1.81,1.92
1,Auckland,ASB Classic,1/3/2011,International,Outdoor,Hard,1st Round,3,Lisicki S.,Molinero F.,175,185,335,318,6,1,6,3,,,2,0,Completed,1.22,4,1.22,4,1.25,3.75,1.22,4.78,1.2,4,1.25,4.8,1.21,4.21
