WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Auckland,ASB Classic,1/3/2016,International,Outdoor,Hard,1st Round,3,Ostapenko J.,Larsson J.,84,56,749,981,6,1,7,5,,,2,0,Completed,2.1,1.66,2,1.75,2.1,1.73,2.17,1.76,2.18,1.77,2.1,1.72
1,Auckland,ASB Classic,1/3/2016,International,Outdoor,Hard,1st Round,3,Witthoeft C.,Maria T.,64,74,913,824,6,2,7,6,,,2,0,Completed,1.61,2.2,1.7,2.1,1.73,2.1,1.9,1.99,1.9,2.2,1.79,2
1,Auckland,ASB Classic,1/4/2016,International,Outdoor,Hard,1st Round,3,Kuznetsova S.,Barthel M.,25,45,2006,1135,6,2,1,1,,,1,0,Retired,1.4,2.75,1.45,2.7,1.4,3,1.46,2.91,1.5,3.05,1.42,2.8
1,Auckland,ASB Classic,1/4/2016,International,Outdoor,Hard,1st Round,3,Hibino N.,Duque Marino M.,66,78,907,792,6,2,2,6,7,5,2,1,Completed,1.72,2,1.82,1.9,1.73,2.1,1.89,2,1.91,2.1,1.81,1.96
1,Auckland,ASB Classic,1/4/2016,International,Outdoor,Hard,1st Round,3,Dulgheru A.,Van Uytvanck A.,69,44,879,1149,1,6,6,2,6,4,2,1,Completed,2.5,1.5,2.5,1.48,2.5,1.53,2.61,1.55,2.61,1.55,2.52,1.51
1,Auckland,ASB Classic,1/4/2016,International,Outdoor,Hard,1st Round,3,Stephens S.,Hercog P.,30,73,1715,835,6,3,6,3,,,2,0,Completed,1.3,3.4,1.33,3.2,1.36,3.25,1.41,3.13,1.41,3.4,1.34,3.15
1,Auckland,ASB Classic,1/4/2016,International,Outdoor,Hard,1st Round,3,Falconi I.,Vandeweghe C.,76,37,797,1247,5,7,6,4,6,3,2,1,Completed,2.75,1.4,2.8,1.42,2.75,1.44,2.78,1.5,2.8,1.5,2.71,1.44
1,Auckland,ASB Classic,1/4/2016,International,Outdoor,Hard,1st Round,3,Mchale C.,Doi M.,63,54,915,1000,6,2,6,4,,,2,0,Completed,2.25,1.57,2.15,1.68,2.2,1.67,2.23,1.72,2.25,1.73,2.16,1.67
1,Auckland,ASB Classic,1/4/2016,International,Outdoor,Hard,1st Round,3,Goerges J.,Hradecka L.,50,53,1040,1009,6,0,6,3,,,2,0,Completed,1.5,2.5,1.5,2.5,1.53,2.5,1.54,2.62,1.57,2.62,1.53,2.47
1,Auckland,ASB Classic,1/4/2016,International,Outdoor,Hard,1st Round,3,Paszek T.,Schiavone F.,172,114,312,541,7,6,4,6,6,3,2,1,Completed,1.72,2,1.72,2.05,1.67,2.2,1.68,2.31,1.74,2.31,1.68,2.15
1,Auckland,ASB Classic,1/5/2016,International,Outdoor,Hard,1st Round,3,Strycova B.,Bertens K.,42,104,1170,618,6,2,6,4,,,2,0,Completed,1.5,2.5,1.52,2.45,1.53,2.5,1.61,2.44,1.63,2.5,1.55,2.4
1,Auckland,ASB Classic,1/5/2016,International,Outdoor,Hard,1st Round,3,Flipkens K.,Mattek-Sands B.,85,60,725,922,3,6,6,4,6,3,2,1,Completed,1.83,1.83,1.9,1.82,1.91,1.91,1.98,1.91,2,1.91,1.9,1.86
1,Auckland,ASB Classic,1/5/2016,International,Outdoor,Hard,1st Round,3,Wozniacki C.,Kovinic D.,17,57,2641,978,6,4,6,4,,,2,0,Completed,1.14,5.5,1.14,5.25,1.17,5,1.16,5.92,1.17,6,1.14,5.32
1,Auckland,ASB Classic,1/5/2016,International,Outdoor,Hard,1st Round,3,Kasatkina D.,Williams V.,75,7,812,3790,6,7,6,3,6,3,2,1,Completed,4.5,1.2,4.5,1.18,4.5,1.2,4.81,1.22,5,1.22,4.6,1.19
1,Auckland,ASB Classic,1/5/2016,International,Outdoor,Hard,1st Round,3,Broady N.,Ivanovic A.,122,16,500,2645,7,5,6,4,,,2,0,Completed,6,1.11,6.5,1.1,6.5,1.11,6.17,1.15,7,1.15,6.29,1.11
1,Auckland,ASB Classic,1/5/2016,International,Outdoor,Hard,1st Round,3,Erakovic M.,Putintseva Y.,135,77,413,793,7,6,7,6,,,2,0,Completed,2.37,1.53,2.35,1.55,2.38,1.57,2.42,1.63,2.55,1.63,2.36,1.57
1,Auckland,ASB Classic,1/5/2016,International,Outdoor,Hard,2nd Round,3,Stephens S.,Witthoeft C.,30,64,1715,913,3,6,6,1,6,3,2,1,Completed,1.22,4,1.25,3.75,1.25,4,1.3,3.92,1.3,4,1.26,3.78
